OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
shape,iterativefit,central,4,0.0,2.5,20.0,10000.0,-15.0,1.1,1.0
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,-15.0,0.0,0.2974597639535693
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.0,0.1277272996324767,1.2844082979773856
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.1277272996324767,0.3100000000000003,-7.360399294545575*(x-0.12772729963247675)*(x-0.12772729963247675)*(x-0.12772729963247675)-1.4420635933524104*(x-0.12772729963247675)*(x-0.12772729963247675)+0.0*(x-0.12772729963247675)+1.2844082979773856
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.3100000000000003,0.3299999999999998,40757.89039300541*(x-0.3100000000000003)*(x-0.3100000000000003)*(x-0.3100000000000003)-1191.2539933955343*(x-0.3100000000000003)*(x-0.3100000000000003)-1.2593087357840442*(x-0.3100000000000003)+1.1919257082984813
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.3299999999999998,0.3499999999999998,-18998.034428769868*(x-0.32999999999999985)*(x-0.32999999999999985)*(x-0.32999999999999985)+602.6153471747796*(x-0.32999999999999985)*(x-0.32999999999999985)+0.0*(x-0.32999999999999985)+1.01630105936863
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.3499999999999998,0.3699999999999998,-561.9585645775594*(x-0.34999999999999987)*(x-0.34999999999999987)*(x-0.34999999999999987)-15.815557374356304*(x-0.34999999999999987)*(x-0.34999999999999987)+1.3069725724673198*(x-0.34999999999999987)+1.1053629228083828
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.3699999999999998,0.3899999999999998,18467.50242400581*(x-0.36999999999999983)*(x-0.36999999999999983)*(x-0.36999999999999983)-554.0250727201748*(x-0.36999999999999983)*(x-0.36999999999999983)+0.0*(x-0.36999999999999983)+1.1206804827913661
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.3899999999999998,0.4099999999999999,-19944.22491793691*(x-0.38999999999999985)*(x-0.38999999999999985)*(x-0.38999999999999985)+598.3267475381095*(x-0.38999999999999985)*(x-0.38999999999999985)+0.0*(x-0.38999999999999985)+1.0468104730953427
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.4099999999999999,0.5516755123490197,75.64926503950926*(x-0.4099999999999999)*(x-0.4099999999999999)*(x-0.4099999999999999)-17.582512643752537*(x-0.4099999999999999)*(x-0.4099999999999999)+0.0*(x-0.4099999999999999)+1.1265873727670912
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.5516755123490197,0.867958572021712,-3.507434780661954*(x-0.5516755123490197)*(x-0.5516755123490197)*(x-0.5516755123490197)+1.6762538689371975*(x-0.5516755123490197)*(x-0.5516755123490197)-0.42673799673181806*(x-0.5516755123490197)+0.9887961550870071
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.867958572021712,0.99,18.337750477713413*(x-0.867958572021712)*(x-0.867958572021712)*(x-0.867958572021712)-5.881905480406507*(x-0.867958572021712)*(x-0.867958572021712)-0.41899503136466953*(x-0.867958572021712)+0.9105371493683234
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.99,1.1,0.8051291503413619
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,-15.0,0.0,1.0634147573170245
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.0,0.1258408638432653,1.2034798915629765
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.1258408638432653,0.3100000000000003,0.0951383352762605*(x-0.1258408638432653)*(x-0.1258408638432653)*(x-0.1258408638432653)+2.926343660371943*(x-0.1258408638432653)*(x-0.1258408638432653)-1.0875055733526826*(x-0.1258408638432653)+1.2034798915629765
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.3100000000000003,0.3299999999999998,-278.2535384528324*(x-0.3100000000000003)*(x-0.3100000000000003)*(x-0.3100000000000003)+8.347606153584795*(x-0.3100000000000003)*(x-0.3100000000000003)+0.0*(x-0.3100000000000003)+1.1030457462334318
