OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
shape,iterativefit,central,4,0.0,2.5,20.0,10000.0,-15.0,1.1,1.0
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,-15.0,0.0,-0.18564753481762664
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.0,0.1285597084534848,1.408872435337623
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.1285597084534848,0.3100000000000003,-83.66753778579329*(x-0.12855970845348486)*(x-0.12855970845348486)*(x-0.12855970845348486)+45.54198734650028*(x-0.12855970845348486)*(x-0.12855970845348486)-8.263151461756726*(x-0.12855970845348486)+1.408872435337623
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.3100000000000003,0.3299999999999998,-62996.78416663742*(x-0.3100000000000003)*(x-0.3100000000000003)*(x-0.3100000000000003)+1889.9035249990825*(x-0.3100000000000003)*(x-0.3100000000000003)+0.0*(x-0.3100000000000003)+0.9091162318995712
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.3299999999999998,0.3499999999999998,94583.0552149165*(x-0.32999999999999985)*(x-0.32999999999999985)*(x-0.32999999999999985)-2837.4916564474975*(x-0.32999999999999985)*(x-0.32999999999999985)+0.0*(x-0.32999999999999985)+1.1611033685661047
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.3499999999999998,0.3699999999999999,-81057.85329436137*(x-0.34999999999999987)*(x-0.34999999999999987)*(x-0.34999999999999987)+2431.735598830843*(x-0.34999999999999987)*(x-0.34999999999999987)+0.0*(x-0.34999999999999987)+0.7827711477064379
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.3699999999999999,0.4004094701517977,2663.548996180996*(x-0.3699999999999999)*(x-0.3699999999999999)*(x-0.3699999999999999)-121.49567054582566*(x-0.3699999999999999)*(x-0.3699999999999999)+0.0*(x-0.3699999999999999)+1.1070025608838843
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.4004094701517977,0.4396040241889474,-2033.3650979870051*(x-0.40040947015179773)*(x-0.40040947015179773)*(x-0.40040947015179773)+119.54525731545885*(x-0.40040947015179773)*(x-0.40040947015179773)+0.0*(x-0.40040947015179773)+1.069552092483769
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.4396040241889474,0.5702530780420989,84.77586773884386*(x-0.43960402418894745)*(x-0.43960402418894745)*(x-0.43960402418894745)-18.303339358232584*(x-0.43960402418894745)*(x-0.43960402418894745)+0.0*(x-0.43960402418894745)+1.1307677545793648
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.5702530780420989,0.868093053206975,-4.020195589100241*(x-0.5702530780420989)*(x-0.5702530780420989)*(x-0.5702530780420989)+1.8034208118822233*(x-0.5702530780420989)*(x-0.5702530780420989)-0.4414655030177736*(x-0.5702530780420989)+1.0074011019594011
