OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
shape,iterativefit,central,4,0.0,2.5,20.0,10000.0,-15.0,1.1,1.0
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,-15.0,0.0,1.1678650379180908
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.0,0.1463255176502401,0.8960896730422974
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.1463255176502401,0.3197018230526394,-12.545934109199735*(x-0.14632551765024013)*(x-0.14632551765024013)*(x-0.14632551765024013)+7.703323835479409*(x-0.14632551765024013)*(x-0.14632551765024013)+0.0*(x-0.14632551765024013)+0.8960896730422974
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.3197018230526394,0.369293576923129,-1522.1130051874588*(x-0.31970182305263944)*(x-0.31970182305263944)*(x-0.31970182305263944)+97.70182315187867*(x-0.31970182305263944)*(x-0.31970182305263944)+1.5397800315459471*(x-0.31970182305263944)+1.0622624158859253
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.369293576923129,0.4300189411126463,202.46978995577334*(x-0.36929357692312903)*(x-0.36929357692312903)*(x-0.36929357692312903)-21.755192426641912*(x-0.36929357692312903)*(x-0.36929357692312903)+0.0*(x-0.36929357692312903)+1.1932634115219116
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.4300189411126463,0.4799247997116161,-122.34381039598185*(x-0.4300189411126463)*(x-0.4300189411126463)*(x-0.4300189411126463)+7.872818389185802*(x-0.4300189411126463)*(x-0.4300189411126463)-0.4023194836977015*(x-0.4300189411126463)+1.1583784818649292
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.4799247997116161,0.5413179913152002,935.496502456484*(x-0.47992479971161617)*(x-0.47992479971161617)*(x-0.47992479971161617)-81.82796918967831*(x-0.47992479971161617)*(x-0.47992479971161617)-0.5306465065940047*(x-0.47992479971161617)+1.1427016258239746
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.5413179913152002,0.6108865829778056,-1304.428455748965*(x-0.5413179913152002)*(x-0.5413179913152002)*(x-0.5413179913152002)+136.12087588662408*(x-0.5413179913152002)*(x-0.5413179913152002)+0.0*(x-0.5413179913152002)+1.0181763172149658
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.6108865829778056,0.6906548738910406,925.5462437704019*(x-0.6108865829778056)*(x-0.6108865829778056)*(x-0.6108865829778056)-110.74386304009403*(x-0.6108865829778056)*(x-0.6108865829778056)+0.0*(x-0.6108865829778056)+1.2377750873565674
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.6906548738910406,0.8924980567836185,-8.645312917334342*(x-0.6906548738910406)*(x-0.6906548738910406)*(x-0.6906548738910406)+2.617496214505622*(x-0.6906548738910406)*(x-0.6906548738910406)+0.0*(x-0.6906548738910406)+1.0028880834579468
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.8924980567836185,0.99,99.95396587563789*(x-0.8924980567836185)*(x-0.8924980567836185)*(x-0.8924980567836185)-25.07165073619332*(x-0.8924980567836185)*(x-0.8924980567836185)+0.0*(x-0.8924980567836185)+1.0384342670440674
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.99,1.1,0.8927361965179443
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,-15.0,0.0,1.0793834924697876
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.0,0.1350951217118396,1.049318552017212
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.1350951217118396,0.339721491116296,-1.3503913281130933*(x-0.13509512171183963)*(x-0.13509512171183963)*(x-0.13509512171183963)+0.8530187610052055*(x-0.13509512171183963)*(x-0.13509512171183963)+0.01475596489285322*(x-0.13509512171183963)+1.049318552017212
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.339721491116296,0.410116847725241,-78.39879968233386*(x-0.339721491116296)*(x-0.339721491116296)*(x-0.339721491116296)+6.898832520596645*(x-0.339721491116296)*(x-0.339721491116296)+0.19422567029944593*(x-0.339721491116296)+1.076485276222229
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.410116847725241,0.4805010441663197,302.37790877919076*(x-0.41011684772524104)*(x-0.41011684772524104)*(x-0.41011684772524104)-31.9239391964357*(x-0.41011684772524104)*(x-0.41011684772524104)+0.0*(x-0.41011684772524104)+1.0969960689544678
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.4805010441663197,0.5604543626830307,-345.13590338444993*(x-0.4805010441663197)*(x-0.4805010441663197)*(x-0.4805010441663197)+41.39214122227458*(x-0.4805010441663197)*(x-0.4805010441663197)+0.0*(x-0.4805010441663197)+1.04427969455719
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.5604543626830307,0.6513587279922316,243.2883245294579*(x-0.5604543626830307)*(x-0.5604543626830307)*(x-0.5604543626830307)-33.17395609273388*(x-0.5604543626830307)*(x-0.5604543626830307)+0.0*(x-0.5604543626830307)+1.1324799060821533
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.6513587279922316,0.7637449843660765,-73.79214298132074*(x-0.6513587279922316)*(x-0.6513587279922316)*(x-0.6513587279922316)+12.4398340492112*(x-0.6513587279922316)*(x-0.6513587279922316)+0.0*(x-0.6513587279922316)+1.041101098060608
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.7637449843660765,0.8880964732041278,71.76307177752118*(x-0.7637449843660765)*(x-0.7637449843660765)*(x-0.7637449843660765)-14.814790706300855*(x-0.7637449843660765)*(x-0.7637449843660765)+0.0*(x-0.7637449843660765)+1.093475580215454
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.8880964732041278,0.96224769768066,5.110388402446682*(x-0.8880964732041278)*(x-0.8880964732041278)*(x-0.8880964732041278)+1.0734787543113895*(x-0.8880964732041278)*(x-0.8880964732041278)-0.3554023940508684*(x-0.8880964732041278)+1.0023821592330933
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.96224769768066,0.99,17.609093107075786*(x-0.9622476976806601)*(x-0.9622476976806601)*(x-0.9622476976806601)+0.6710748580798191*(x-0.9622476976806601)*(x-0.9622476976806601)-0.11190592438591015*(x-0.9622476976806601)+0.984014630317688
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.99,1.1,0.9818022251129152
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,-15.0,0.0,1.3192650079727173
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.0,0.1329098083899751,1.1239707469940186
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.1329098083899751,0.3596129983558777,1.1867100971632871*(x-0.1329098083899751)*(x-0.1329098083899751)*(x-0.1329098083899751)+0.6061254391029718*(x-0.1329098083899751)*(x-0.1329098083899751)-0.457791674745856*(x-0.1329098083899751)+1.1239707469940186
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.3596129983558777,0.5020345640142359,-6.276008057379372*(x-0.35961299835587773)*(x-0.35961299835587773)*(x-0.35961299835587773)+1.3407583404246612*(x-0.35961299835587773)*(x-0.35961299835587773)+0.0*(x-0.35961299835587773)+1.0651659965515137
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.5020345640142359,0.6873584854945679,12.437809597111919*(x-0.5020345640142359)*(x-0.5020345640142359)*(x-0.5020345640142359)-3.457535473743735*(x-0.5020345640142359)*(x-0.5020345640142359)+0.0*(x-0.5020345640142359)+1.0742312669754028
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.6873584854945679,0.81094903519839,-30.920167706163795*(x-0.6873584854945679)*(x-0.6873584854945679)*(x-0.6873584854945679)+5.732160785608727*(x-0.6873584854945679)*(x-0.6873584854945679)+0.0*(x-0.6873584854945679)+1.0346482992172241
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.81094903519839,0.8605723307841038,841.0732197479538*(x-0.81094903519839)*(x-0.81094903519839)*(x-0.81094903519839)-63.676235848827446*(x-0.81094903519839)*(x-0.81094903519839)+0.0*(x-0.81094903519839)+1.0638338327407837
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.8605723307841038,0.9008017209968654,-60.223336683709626*(x-0.8605723307841038)*(x-0.8605723307841038)*(x-0.8605723307841038)+3.6301979620826175*(x-0.8605723307841038)*(x-0.8605723307841038)-0.10629293634608802*(x-0.8605723307841038)+1.0098086595535278
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.9008017209968654,0.9414332778820798,795.7131412406289*(x-0.9008017209968654)*(x-0.9008017209968654)*(x-0.9008017209968654)-47.18470063838882*(x-0.9008017209968654)*(x-0.9008017209968654)-0.10660867309151828*(x-0.9008017209968654)+1.0074867010116577
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.9414332778820798,0.97,-3300.5585178456995*(x-0.9414332778820798)*(x-0.9414332778820798)*(x-0.9414332778820798)+141.42920701984906*(x-0.9414332778820798)*(x-0.9414332778820798)+0.0*(x-0.9414332778820798)+0.9786328077316284
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.97,0.99,1967.4387288373193*(x-0.97)*(x-0.97)*(x-0.97)-153.3892983442186*(x-0.97)*(x-0.97)+0.0*(x-0.97)+1.0171042680740356
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.99,1.1,0.9714880585670471
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,-15.0,0.0,1.1472647190093994
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,0.0,0.1321521122666699,1.1925013065338135
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,0.1321521122666699,0.3891047747640052,3.088375102370089*(x-0.13215211226666992)*(x-0.13215211226666992)*(x-0.13215211226666992)+0.9681425115771147*(x-0.13215211226666992)*(x-0.13215211226666992)-1.1092604400467034*(x-0.13215211226666992)+1.1925013065338135
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,0.3891047747640052,0.5847731759349472,-7.355238232949736*(x-0.38910477476400523)*(x-0.38910477476400523)*(x-0.38910477476400523)+2.1587815579089886*(x-0.38910477476400523)*(x-0.38910477476400523)+0.0*(x-0.38910477476400523)+1.0237901210784912
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,0.5847731759349472,0.7431553797797118,-0.03330431383575684*(x-0.5847731759349472)*(x-0.5847731759349472)*(x-0.5847731759349472)-0.07381178002224549*(x-0.5847731759349472)*(x-0.5847731759349472)+0.0*(x-0.5847731759349472)+1.0513405799865723
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,0.7431553797797118,0.8202498215577416,-4.395430647448044*(x-0.7431553797797118)*(x-0.7431553797797118)*(x-0.7431553797797118)-1.5134988783300312*(x-0.7431553797797118)*(x-0.7431553797797118)-0.025887253173186256*(x-0.7431553797797118)+1.0493566989898682
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,0.8202498215577416,0.8605495347430262,2003.143099564629*(x-0.8202498215577416)*(x-0.8202498215577416)*(x-0.8202498215577416)-116.90020826468862*(x-0.8202498215577416)*(x-0.8202498215577416)-0.3376253799001526*(x-0.8202498215577416)+1.0363513231277466
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,0.8605495347430262,0.9008256092018968,-1489.8587476126995*(x-0.8605495347430262)*(x-0.8605495347430262)*(x-0.8605495347430262)+90.00849277807293*(x-0.8605495347430262)*(x-0.8605495347430262)+0.0*(x-0.8605495347430262)+0.9639959335327148
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,0.9008256092018968,0.9414089409383846,0.7751987850481965*(x-0.9008256092018967)*(x-0.9008256092018967)*(x-0.9008256092018967)-1.8097485017525605*(x-0.9008256092018967)*(x-0.9008256092018967)+0.0*(x-0.9008256092018967)+1.0126653909683228
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,0.9414089409383846,0.97,2624.697999667138*(x-0.9414089409383846)*(x-0.9414089409383846)*(x-0.9414089409383846)-110.06249517383002*(x-0.9414089409383846)*(x-0.9414089409383846)-0.1430609745669963*(x-0.9414089409383846)+1.0097365379333496
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,0.97,0.99,405.2674714193575*(x-0.97)*(x-0.97)*(x-0.97)+18.142747991351566*(x-0.97)*(x-0.97)+0.0*(x-0.97)+0.9770195484161377
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,0.99,1.1,0.9875187873840332
shape,iterativefit,central,5,0.0,2.5,100.0,140.0,-15.0,0.0,1.1482949256896973
shape,iterativefit,central,5,0.0,2.5,100.0,140.0,0.0,0.1327382870096464,1.2600488662719727
shape,iterativefit,central,5,0.0,2.5,100.0,140.0,0.1327382870096464,0.3990503474917029,1.7447273929631437*(x-0.13273828700964643)*(x-0.13273828700964643)*(x-0.13273828700964643)+0.5149496335155019*(x-0.13273828700964643)*(x-0.13273828700964643)-0.8915605327620006*(x-0.13273828700964643)+1.2600488662719727
shape,iterativefit,central,5,0.0,2.5,100.0,140.0,0.3990503474917029,0.6165846445622706,-4.364507545231681*(x-0.39905034749170293)*(x-0.39905034749170293)*(x-0.39905034749170293)+1.3601929481695587*(x-0.39905034749170293)*(x-0.39905034749170293)-0.24606667399451926*(x-0.39905034749170293)+1.0920902490615845
shape,iterativefit,central,5,0.0,2.5,100.0,140.0,0.6165846445622706,0.7614439110271598,62.400561995499615*(x-0.6165846445622706)*(x-0.6165846445622706)*(x-0.6165846445622706)-12.613582747264198*(x-0.6165846445622706)*(x-0.6165846445622706)-0.273890256079689*(x-0.6165846445622706)+1.058000087738037
shape,iterativefit,central,5,0.0,2.5,100.0,140.0,0.7614439110271598,0.8208291018909508,-314.4662998393847*(x-0.7614439110271598)*(x-0.7614439110271598)*(x-0.7614439110271598)+28.011961854287993*(x-0.7614439110271598)*(x-0.7614439110271598)+0.0*(x-0.7614439110271598)+0.9433210492134094
shape,iterativefit,central,5,0.0,2.5,100.0,140.0,0.8208291018909508,0.8606623205814804,1854.8242998071075*(x-0.8208291018909508)*(x-0.8208291018909508)*(x-0.8208291018909508)-110.82543295008738*(x-0.8208291018909508)*(x-0.8208291018909508)+0.0*(x-0.8208291018909508)+0.9762500524520874
shape,iterativefit,central,5,0.0,2.5,100.0,140.0,0.8606623205814804,0.9008670034777287,-2842.8385111655384*(x-0.8606623205814804)*(x-0.8606623205814804)*(x-0.8606623205814804)+171.4431312999803*(x-0.8606623205814804)*(x-0.8606623205814804)+0.0*(x-0.8606623205814804)+0.9176350235939026
shape,iterativefit,central,5,0.0,2.5,100.0,140.0,0.9008670034777287,0.9414565608423195,305.70740192877827*(x-0.9008670034777289)*(x-0.9008670034777289)*(x-0.9008670034777289)-18.612792191052243*(x-0.9008670034777289)*(x-0.9008670034777289)+0.0*(x-0.9008670034777289)+1.010009527206421
shape,iterativefit,central,5,0.0,2.5,100.0,140.0,0.9414565608423195,0.97,-443.3195931909075*(x-0.9414565608423197)*(x-0.9414565608423197)*(x-0.9414565608423197)+18.980798753478386*(x-0.9414565608423197)*(x-0.9414565608423197)+0.0*(x-0.9414565608423197)+0.9997879266738892
shape,iterativefit,central,5,0.0,2.5,100.0,140.0,0.97,0.99,1976.9876074593014*(x-0.97)*(x-0.97)*(x-0.97)-113.11140432318192*(x-0.97)*(x-0.97)+0.0*(x-0.97)+1.0049426555633545
shape,iterativefit,central,5,0.0,2.5,100.0,140.0,0.99,1.1,0.9755139946937561
shape,iterativefit,central,5,0.0,2.5,140.0,10000.0,-15.0,0.0,1.0394313335418701
shape,iterativefit,central,5,0.0,2.5,140.0,10000.0,0.0,0.1364987035563521,1.4684516191482544
