OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
shape,iterativefit,central,4,0.0,2.5,20.0,10000.0,-15.0,1.1,1.0
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,-15.0,0.0,1.0019701507606806
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.0,0.0589332926793606,1.0019701507606806
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.0589332926793606,0.1982606393548481,1.4765050087375018*(x-0.05893329267936069)*(x-0.05893329267936069)*(x-0.05893329267936069)-6.5574551769874745*(x-0.05893329267936069)*(x-0.05893329267936069)+1.7412794306453634*(x-0.05893329267936069)+1.0019701507606806
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.1982606393548481,0.2798104497089381,67.08186245023191*(x-0.19826063935484817)*(x-0.19826063935484817)*(x-0.19826063935484817)-12.173717932438205*(x-0.19826063935484817)*(x-0.19826063935484817)+0.0*(x-0.19826063935484817)+1.1212773666408136
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.2798104497089381,0.3594631704635709,147.53464654041565*(x-0.2798104497089381)*(x-0.2798104497089381)*(x-0.2798104497089381)-13.56485115347386*(x-0.2798104497089381)*(x-0.2798104497089381)-0.647170844927923*(x-0.2798104497089381)+1.0766985642091802
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.3594631704635709,0.4503760103952311,-400.6765285973054*(x-0.35946317046357096)*(x-0.35946317046357096)*(x-0.35946317046357096)+54.63996166311012*(x-0.35946317046357096)*(x-0.35946317046357096)+0.0*(x-0.35946317046357096)+1.0136449662352127
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.4503760103952311,0.5500660316405541,249.35618962728407*(x-0.4503760103952311)*(x-0.4503760103952311)*(x-0.4503760103952311)-37.287485762395114*(x-0.4503760103952311)*(x-0.4503760103952311)+0.0*(x-0.4503760103952311)+1.1641806917942292
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.5500660316405541,0.6512235451401656,-113.8321534676726*(x-0.5500660316405541)*(x-0.5500660316405541)*(x-0.5500660316405541)+17.272466401643896*(x-0.5500660316405541)*(x-0.5500660316405541)+0.0*(x-0.5500660316405541)+1.0406584335342752
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.6512235451401656,0.7518453260380299,32.155559268099694*(x-0.6512235451401656)*(x-0.6512235451401656)*(x-0.6512235451401656)-7.733081477550423*(x-0.6512235451401656)*(x-0.6512235451401656)+0.0*(x-0.6512235451401656)+1.0995739098412651
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.7518453260380299,0.8532535678863622,23.340928346290106*(x-0.7518453260380299)*(x-0.7518453260380299)*(x-0.7518453260380299)-4.604020407786156*(x-0.7518453260380299)*(x-0.7518453260380299)-0.5795325595224491*(x-0.7518453260380299)+1.0540375567846192
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.8532535678863622,0.9698382597855464,0.061583640114091204*(x-0.8532535678863622)*(x-0.8532535678863622)*(x-0.8532535678863622)+0.1072909829086541*(x-0.8532535678863622)*(x-0.8532535678863622)-0.7932152705196394*(x-0.8532535678863622)+0.9722630996976623
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.9698382597855464,1.1,0.881342226327848
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,-15.0,0.0,1.0352851797326286
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.0,0.0617729948480169,1.0352851797326286
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.0617729948480169,0.2188962071745643,-0.5853024685125889*(x-0.061772994848016995)*(x-0.061772994848016995)*(x-0.061772994848016995)+0.37285949131781265*(x-0.061772994848016995)*(x-0.061772994848016995)+0.07699479153068443*(x-0.061772994848016995)+1.0352851797326286
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.2188962071745643,0.2999060839419266,-5.526941168086945*(x-0.2188962071745643)*(x-0.2188962071745643)*(x-0.2188962071745643)+0.9070022322124067*(x-0.2188962071745643)*(x-0.2188962071745643)+0.15081523155615645*(x-0.2188962071745643)+1.0543174985010604
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.2999060839419266,0.3794279243473048,-30.176688595743023*(x-0.29990608394192664)*(x-0.29990608394192664)*(x-0.29990608394192664)+2.4114939450224475*(x-0.29990608394192664)*(x-0.29990608394192664)+0.18895419512603093*(x-0.29990608394192664)+1.0695489970605199
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.3794279243473048,0.4704048608500519,92.9618596590794*(x-0.3794279243473048)*(x-0.3794279243473048)*(x-0.3794279243473048)-12.753793253002128*(x-0.3794279243473048)*(x-0.3794279243473048)+0.0*(x-0.3794279243473048)+1.0846495272827343
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.4704048608500519,0.5699277888091231,0.001318532814772279*(x-0.47040486085005195)*(x-0.47040486085005195)*(x-0.47040486085005195)+0.06170391487371272*(x-0.47040486085005195)*(x-0.47040486085005195)-0.012321088013182158*(x-0.47040486085005195)+1.0490890043539935
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.5699277888091231,0.6710894860717792,-3.0334318414340062*(x-0.5699277888091231)*(x-0.5699277888091231)*(x-0.5699277888091231)+0.46030067041507255*(x-0.5699277888091231)*(x-0.5699277888091231)+0.0*(x-0.5699277888091231)+1.048475239100814
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.6710894860717792,0.7725687390572906,63.35441378444731*(x-0.6710894860717792)*(x-0.6710894860717792)*(x-0.6710894860717792)-11.347175821357494*(x-0.6710894860717792)*(x-0.6710894860717792)+0.0*(x-0.6710894860717792)+1.050045430402256
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.7725687390572906,0.8749559890153317,-5.02507535758086*(x-0.7725687390572906)*(x-0.7725687390572906)*(x-0.7725687390572906)+1.3099753500919626*(x-0.7725687390572906)*(x-0.7725687390572906)-0.3457272203490938*(x-0.7725687390572906)+0.9993994981411464
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.8749559890153317,0.9793865030530406,0.2761991421536792*(x-0.8749559890153317)*(x-0.8749559890153317)*(x-0.8749559890153317)+0.1938615914837054*(x-0.8749559890153317)*(x-0.8749559890153317)-0.23551351356695602*(x-0.8749559890153317)+0.9723404871693477
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.9793865030530406,1.1,0.9501744532770194
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,-15.0,0.0,1.1061241875630996
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.0,0.0617609948792139,1.1061241875630996
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.0617609948792139,0.2189589829741742,6.791613506872091*(x-0.06176099487921396)*(x-0.06176099487921396)*(x-0.06176099487921396)+1.018678885491094*(x-0.06176099487921396)*(x-0.06176099487921396)-0.8237554537198746*(x-0.06176099487921396)+1.1061241875630996
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.2189589829741742,0.3098914499123604,-0.49490181886379475*(x-0.2189589829741742)*(x-0.2189589829741742)*(x-0.2189589829741742)+0.285665416097907*(x-0.2189589829741742)*(x-0.2189589829741742)+0.0*(x-0.2189589829741742)+1.0281866493169611
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.3098914499123604,0.4096674229728059,-45.380025367703794*(x-0.30989144991236045)*(x-0.30989144991236045)*(x-0.30989144991236045)+6.592929271805995*(x-0.30989144991236045)*(x-0.30989144991236045)+0.03967591789243971*(x-0.30989144991236045)+1.0301766208459562
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.4096674229728059,0.510917139365219,64.97547615823325*(x-0.4096674229728059)*(x-0.4096674229728059)*(x-0.4096674229728059)-9.868122800224674*(x-0.4096674229728059)*(x-0.4096674229728059)+0.0*(x-0.4096674229728059)+1.054693831339466
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.510917139365219,0.6103708835769349,-79.83620128916621*(x-0.510917139365219)*(x-0.510917139365219)*(x-0.510917139365219)+11.910013712771704*(x-0.510917139365219)*(x-0.510917139365219)+0.0*(x-0.510917139365219)+1.020972794368337
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.6103708835769349,0.7114728353010923,65.94595384225627*(x-0.6103708835769349)*(x-0.6103708835769349)*(x-0.6103708835769349)-12.740742415198682*(x-0.6103708835769349)*(x-0.6103708835769349)+0.0*(x-0.6103708835769349)+1.060240297113347
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.7114728353010923,0.8013866041317199,56.74847496533957*(x-0.7114728353010923)*(x-0.7114728353010923)*(x-0.7114728353010923)-4.5729329875845135*(x-0.7114728353010923)*(x-0.7114728353010923)-0.5540074453514776*(x-0.7114728353010923)+0.9981596085086814
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.8013866041317199,0.8836426295074363,-158.0691113440026*(x-0.8013866041317199)*(x-0.8013866041317199)*(x-0.8013866041317199)+19.503205250743832*(x-0.8013866041317199)*(x-0.8013866041317199)+0.0*(x-0.8013866041317199)+0.9526277396213952
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.8836426295074363,0.9805955150248375,-2.827790684447661*(x-0.8836426295074363)*(x-0.8836426295074363)*(x-0.8836426295074363)-5.629595822629046*(x-0.8836426295074363)*(x-0.8836426295074363)+0.0*(x-0.8836426295074363)+0.996614317706593
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.9805955150248375,1.1,0.9411198044475324
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,-15.0,0.0,1.1442065819391016
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,0.0,0.0556140395187747,1.1442065819391016
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,0.0556140395187747,0.2085661583743966,3.183118007834114*(x-0.05561403951877472)*(x-0.05561403951877472)*(x-0.05561403951877472)-2.2003701030917555*(x-0.05561403951877472)*(x-0.05561403951877472)+0.0*(x-0.05561403951877472)+1.1442065819391016
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,0.2085661583743966,0.3096876376409093,190.38972013439368*(x-0.2085661583743966)*(x-0.2085661583743966)*(x-0.2085661583743966)-26.65516408259532*(x-0.2085661583743966)*(x-0.2085661583743966)-0.4497016024434483*(x-0.2085661583743966)+1.1041202343639893
