DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, mujets, up, 0, -2.5, 2.5, 50, 70, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))+0.0088963853195309639"
0, mujets, up, 0, -2.5, 2.5, 70, 100, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))+0.016421603038907051"
0, mujets, up, 0, -2.5, 2.5, 100, 140, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))+0.020021548494696617"
0, mujets, up, 0, -2.5, 2.5, 140, 200, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))+0.045857526361942291"
0, mujets, up, 0, -2.5, 2.5, 200, 300, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))+0.040230181068181992"
0, mujets, up, 0, -2.5, 2.5, 300, 600, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))+0.024666476994752884"
0, mujets, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "1.01858+1.05504e-05*log(x+19)*log(x+18)*(3-34.9444*log(x+18))+0.096695847809314728"
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))"
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))"
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))-0.065820932388305664"
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))-0.020254978910088539"
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))-0.018725322559475899"
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))-0.022655976936221123"
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))-0.02221098355948925"
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))-0.022172883152961731"
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))-0.048132143914699554"
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))-0.06063862144947052"
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))-0.24641968309879303"
0, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))-0.026328373700380325"
0, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))-0.0081019913777709007"
0, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))-0.0074901287443935871"
0, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))-0.0090623907744884491"
