#Data tag : 19v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
299477:5976,39:39,07/20/17 12:44:20,STABLE BEAMS,6500,334671.170,163124.671,40.1,HFET
299477:5976,40:40,07/20/17 12:44:44,STABLE BEAMS,6500,334540.801,321814.033,40.1,HFET
299477:5976,41:41,07/20/17 12:45:07,STABLE BEAMS,6500,334211.100,319233.275,40.1,HFET
299477:5976,42:42,07/20/17 12:45:30,STABLE BEAMS,6500,333906.384,312204.465,40.1,HFET
299477:5976,82:82,07/20/17 13:01:03,STABLE BEAMS,6500,321643.222,0.000,38.6,HFET
299477:5976,83:83,07/20/17 13:01:26,STABLE BEAMS,6500,320727.312,0.000,38.5,HFET
299477:5976,84:84,07/20/17 13:01:49,STABLE BEAMS,6500,320864.619,168417.800,38.5,HFET
299477:5976,85:85,07/20/17 13:02:13,STABLE BEAMS,6500,320556.972,309432.787,38.5,HFET
299477:5976,86:86,07/20/17 13:02:36,STABLE BEAMS,6500,320143.696,308782.528,38.4,HFET
299477:5976,87:87,07/20/17 13:02:59,STABLE BEAMS,6500,319673.937,120463.467,38.3,HFET
299478:5976,1:1,07/20/17 13:06:43,STABLE BEAMS,6500,316091.113,292466.943,37.9,HFET
299478:5976,2:2,07/20/17 13:07:07,STABLE BEAMS,6500,315460.470,305525.937,37.8,HFET
299478:5976,3:3,07/20/17 13:07:30,STABLE BEAMS,6500,315207.972,304749.135,37.8,HFET
299478:5976,4:4,07/20/17 13:07:53,STABLE BEAMS,6500,314818.525,300540.131,37.8,HFET
299478:5976,5:5,07/20/17 13:08:17,STABLE BEAMS,6500,314411.372,304933.452,37.7,HFET
299478:5976,6:6,07/20/17 13:08:40,STABLE BEAMS,6500,314067.959,305215.215,37.7,HFET
299478:5976,7:7,07/20/17 13:09:03,STABLE BEAMS,6500,313800.429,303249.894,37.6,HFET
299478:5976,8:8,07/20/17 13:09:27,STABLE BEAMS,6500,313434.273,303471.107,37.6,HFET
299478:5976,9:9,07/20/17 13:09:50,STABLE BEAMS,6500,313007.880,300987.431,37.5,HFET
299478:5976,10:10,07/20/17 13:10:13,STABLE BEAMS,6500,312725.886,292717.037,37.5,HFET
299478:5976,11:11,07/20/17 13:10:37,STABLE BEAMS,6500,312816.339,297965.541,37.5,HFET
299478:5976,12:12,07/20/17 13:11:00,STABLE BEAMS,6500,312665.667,301880.571,37.5,HFET
299478:5976,13:13,07/20/17 13:11:23,STABLE BEAMS,6500,312222.379,302072.357,37.5,HFET
299478:5976,14:14,07/20/17 13:11:46,STABLE BEAMS,6500,311814.628,302627.866,37.4,HFET
299478:5976,15:15,07/20/17 13:12:10,STABLE BEAMS,6500,311581.519,301710.910,37.4,HFET
299478:5976,16:16,07/20/17 13:12:33,STABLE BEAMS,6500,311646.552,200432.397,37.4,HFET
299478:5976,17:17,07/20/17 13:12:56,STABLE BEAMS,6500,311484.962,301904.523,37.4,HFET
299478:5976,18:18,07/20/17 13:13:20,STABLE BEAMS,6500,311285.070,300809.438,37.3,HFET
299478:5976,19:19,07/20/17 13:13:43,STABLE BEAMS,6500,310797.808,301132.493,37.3,HFET
299478:5976,20:20,07/20/17 13:14:06,STABLE BEAMS,6500,310515.632,300626.620,37.2,HFET
299478:5976,21:21,07/20/17 13:14:30,STABLE BEAMS,6500,310279.165,200288.698,37.2,HFET
299478:5976,22:22,07/20/17 13:14:53,STABLE BEAMS,6500,309955.570,301876.721,37.2,HFET
299478:5976,23:23,07/20/17 13:15:16,STABLE BEAMS,6500,309556.102,301196.653,37.1,HFET
299478:5976,24:24,07/20/17 13:15:40,STABLE BEAMS,6500,308492.598,296530.335,37.0,HFET
299478:5976,25:25,07/20/17 13:16:03,STABLE BEAMS,6500,307924.739,296607.132,36.9,HFET
299478:5976,26:26,07/20/17 13:16:26,STABLE BEAMS,6500,307660.053,299715.219,36.9,HFET
299478:5976,27:27,07/20/17 13:16:49,STABLE BEAMS,6500,307332.914,299890.349,36.9,HFET
299478:5976,28:28,07/20/17 13:17:13,STABLE BEAMS,6500,306995.451,298777.043,36.8,HFET
299478:5976,29:29,07/20/17 13:17:36,STABLE BEAMS,6500,306641.483,298906.614,36.8,HFET
299478:5976,30:30,07/20/17 13:17:59,STABLE BEAMS,6500,307507.198,299613.406,36.9,HFET
299478:5976,31:31,07/20/17 13:18:23,STABLE BEAMS,6500,306666.812,203962.939,36.8,HFET
299478:5976,32:32,07/20/17 13:18:46,STABLE BEAMS,6500,306445.704,76013.940,36.8,HFET
299478:5976,33:33,07/20/17 13:19:09,STABLE BEAMS,6500,306112.657,298720.693,36.7,HFET
299478:5976,34:34,07/20/17 13:19:33,STABLE BEAMS,6500,305893.965,298269.638,36.7,HFET
299478:5976,35:35,07/20/17 13:19:56,STABLE BEAMS,6500,305438.367,293610.141,36.6,HFET
299478:5976,36:36,07/20/17 13:20:19,STABLE BEAMS,6500,305246.378,297500.806,36.6,HFET
299478:5976,37:37,07/20/17 13:20:43,STABLE BEAMS,6500,304984.620,296889.088,36.6,HFET
299478:5976,38:38,07/20/17 13:21:06,STABLE BEAMS,6500,304870.974,183614.080,36.6,HFET
299478:5976,39:39,07/20/17 13:21:29,STABLE BEAMS,6500,304707.099,217860.664,36.6,HFET
299478:5976,40:40,07/20/17 13:21:53,STABLE BEAMS,6500,304689.495,276965.726,36.6,HFET
299478:5976,41:41,07/20/17 13:22:16,STABLE BEAMS,6500,304602.518,296715.581,36.5,HFET
299478:5976,42:42,07/20/17 13:22:39,STABLE BEAMS,6500,304947.499,297651.679,36.6,HFET
299478:5976,43:43,07/20/17 13:23:03,STABLE BEAMS,6500,304767.261,296363.971,36.6,HFET
299478:5976,44:44,07/20/17 13:23:26,STABLE BEAMS,6500,304490.489,297151.522,36.5,HFET
299478:5976,45:45,07/20/17 13:23:49,STABLE BEAMS,6500,303755.421,296198.350,36.4,HFET
299478:5976,46:46,07/20/17 13:24:12,STABLE BEAMS,6500,302660.533,33744.600,36.3,HFET
299478:5976,47:47,07/20/17 13:24:36,STABLE BEAMS,6500,302646.928,127856.895,36.3,HFET
299478:5976,48:48,07/20/17 13:24:59,STABLE BEAMS,6500,302399.913,294633.249,36.3,HFET
299478:5976,49:49,07/20/17 13:25:22,STABLE BEAMS,6500,302255.206,293919.877,36.3,HFET
299478:5976,50:50,07/20/17 13:25:46,STABLE BEAMS,6500,302073.064,295136.302,36.2,HFET
299478:5976,51:51,07/20/17 13:26:09,STABLE BEAMS,6500,301839.538,293658.362,36.2,HFET
